review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RVZ4P2CB6M7BE,5,35,35,N,Y
R1O0FQB05T8FK5,5,23,30,N,N
RFX7QJL89UW99,5,52,53,N,Y
R2E6KFX0F3PSV7,5,19,22,N,Y
R1KBOCTNN9O9BZ,1,19,25,N,N
R9Q4LBS0ZDVB,5,22,22,N,Y
R1KZX9Z4IOWBNC,5,19,20,N,Y
R4BXNZC4TPNM3,5,37,40,N,Y
R9NJVI1LNXAJQ,5,18,20,N,Y
R3JR4CB2YD3RGS,2,35,58,N,Y
R8OY9US4UBUEJ,5,63,64,N,N
R38K2ERKUP1TLY,1,21,23,N,Y
R2ENDKH7F5F154,5,50,51,N,Y
R1GBQJAW618NF7,5,23,25,N,Y
RLZ758UZQW4CI,5,25,26,N,N
R1YPM618QPPAE0,5,20,22,N,Y
R1RFDSYEC2F4FY,1,20,20,N,Y
R1BMS2469NH4LR,5,64,67,N,Y
RFIBBQOBN3HK,4,42,45,N,Y
R1R3OX9ZF8I0P6,5,19,25,N,Y
R2LRKRVEYAPJWL,5,33,33,N,Y
R38UAC3DMGBP4W,2,32,35,N,Y
R27DKOEEQ6LTU6,5,26,26,N,Y
RDTRWDIXXW1G5,5,28,29,N,Y
RENCV7KPQP8OA,5,23,24,N,N
R1Y4DC0EI7ASQN,5,61,62,N,Y
R2BLNK92SKVHJX,1,19,21,N,Y
R159HFZLJ7YGFV,5,63,65,N,Y
RME3FENG7PK4S,4,30,30,N,Y
R18D4O8RHSH94R,5,40,40,N,Y
R3EANEGQNFIHYA,4,18,21,N,Y
RTTZRZFFJV1W4,5,90,91,N,Y
R1DXJBJD3T35C6,5,39,42,N,Y
R3VL5JU9GAWTSP,2,30,34,N,Y
R3CAMZAYSAD3KU,5,28,30,N,N
R3CXLH4HGTGLM4,5,26,28,N,N
R1GRFJBQIF93H3,5,42,51,N,Y
R2ZCKUON5UCCM5,3,40,45,N,Y
R9FRR1KPBM5UV,4,58,59,N,N
R3C08VYET09HUZ,5,20,23,N,N
R2VM8Z15G90UYS,5,36,36,N,Y
R21WDY33E1QY5W,3,18,20,N,N
RP7ZLH6H37C7T,5,36,40,N,Y
RFT257MDTGN1U,5,26,26,N,Y
R36VIQJ4GJNM8Q,4,29,33,N,N
RLYEMNSJUI6BJ,5,26,26,N,Y
R3D9UGHFJ5X9JP,5,94,114,N,N
R33BL1N49Y6T88,5,32,32,N,Y
R3JNN0F9HOHYNF,3,43,45,N,Y
R2F0IPHNNLWG7A,5,20,20,N,Y
R22E9ATVPJV22J,5,43,44,N,Y
RC8RS7QZSPVOR,5,24,42,N,N
RVCRLOCIX4DGH,5,24,24,N,Y
R20KII7ZN6BSSN,5,27,27,N,Y
R4P3V38HVGGG3,5,28,28,N,Y
RPSMV26SGLAWE,5,22,22,N,Y
R17A13ND4APIFS,5,65,67,N,Y
R375FTEMTTNXW4,5,25,25,N,Y
R146VDF9L3VJEL,5,44,46,N,Y
R1XUPRLCQXJI2Y,1,33,33,N,Y
R3VRBR1Z9OGA60,1,21,22,N,N
R1NEU2DJQFDFYJ,5,35,36,N,Y
R3GGL0XZTYUGML,1,17,21,N,Y
R38Y5K54X1MHXM,5,51,71,N,N
R18R1VQGJ04H1J,5,22,23,N,Y
R3JQ7JUINQXJYN,5,30,30,N,Y
RDGHARVEZSE5J,5,20,33,N,N
RZ9AA9P9BX8HF,2,39,41,N,Y
RRTOU6H2DEHY,5,21,21,N,Y
R3812AFNXP14YK,5,22,22,N,Y
R2MKCQ46S569KF,5,41,44,N,Y
R2FT2IW1O52MVM,5,38,43,N,N
R3SIVNVZ7Z1EB0,1,21,23,N,Y
R2CL7P1EN7ORQE,5,73,76,N,Y
R3B7VAF4AY0XUI,5,49,49,N,Y
R1QHPMSB2XDJSZ,1,22,25,N,Y
R2IC84L5XC15SI,5,36,59,N,N
RQAUVRCJV84TY,5,39,43,N,N
R4P6M7ALFNSTV,3,36,59,N,N
R2XNFK3XG7AUZH,1,28,54,N,N
RUYSOTUAHF56B,5,39,40,N,Y
R16ON4PP09CSL0,3,23,30,N,N
R2SL80IILBWMIR,5,26,28,N,Y
R3CDENF7PUST45,1,25,25,N,Y
RLLR5DJBN098O,5,62,64,N,Y
R3U2G69N2O5WN5,3,20,20,N,Y
R37IVRK6R47YHI,1,427,442,N,Y
R3PMT50SRPW0JR,5,21,21,N,Y
R3B7NH5BXZAMMF,5,31,32,N,Y
R2JU5R2AN51KK9,5,26,27,N,N
RCSAQOB1K05J1,5,51,53,N,Y
R1Y300B3U4YJJ2,5,31,32,N,N
R2N50CLDNYHM49,2,29,30,N,Y
RAGJAPMX1IYDJ,5,52,53,N,Y
R37FQQ4QBJW3R4,1,22,23,N,Y
R28LEF66QKTCLT,5,21,21,N,Y
RI9ZPVETCBHOE,5,26,26,N,Y
R22WRH530DGNV3,5,35,36,N,Y
RYK4J2MUH7EQX,1,23,24,N,Y
RFS6P52QY4J0F,5,36,38,N,Y
RM2O2EJ2B5J3W,5,20,21,N,N
R1B4UMVWAO5Z3F,5,16,20,N,N
R30G82YMEZP3X0,5,33,35,N,N
R1FSA6S9PXFR8R,5,25,25,N,Y
R1AIPHC0FIUZ16,5,21,22,N,Y
R1E2I32CEY689I,5,48,48,N,Y
RQWQ67XF6QPTX,4,20,20,N,Y
R3E4F0C9V5XNNX,5,39,40,N,Y
R36KIUPYNJ74B1,4,35,36,N,Y
R35EPTBAK2PSKL,1,13,21,N,N
R3I8WZOGRIAZ41,5,44,47,N,Y
R2HNI67DAL3229,5,23,23,N,Y
R21E2U9J4XSGW0,5,23,23,N,Y
R2I4WDJD3ZUP63,3,16,20,N,Y
R33WYI0GE1Z9D7,5,25,26,N,Y
R21NU31Y7JZZEI,1,17,24,N,N
R3W5UQWQP64TU,5,113,116,N,Y
RHBOV335UO4UM,5,22,22,N,Y
RM1SV9V5XJY1S,5,83,83,N,Y
R37ZHNGBC4CN2C,1,30,31,N,Y
R2UWP9OOR0E4Z2,5,19,20,N,Y
R7790KQFKP9CY,5,21,21,N,N
R3JGM972WLDKWI,5,19,20,N,N
R1986NXU6Y5U1R,5,20,22,N,Y
R3OI9XEMPSNORG,1,19,20,N,Y
RZYA6HKTYF53R,5,19,20,N,Y
R2I009RI9XLKTR,5,27,27,N,Y
R12GI9JENTX5KC,5,35,35,N,Y
R2THAX3UEPAH88,5,31,31,N,Y
R3VLO2F9GJOASI,5,18,21,N,Y
R36N6AE6E5FTE,5,20,21,N,Y
R1Y950N4QRXBQJ,3,35,35,N,Y
R2HAL4ZYVDD4H3,1,54,57,N,Y
R125VNSDUX31HT,5,28,29,N,N
R1992SG729KB6J,5,20,20,N,Y
R1IDPRA7BAAKPH,4,25,25,N,Y
RCF53TVH7RRMS,5,27,27,N,N
R3MBOI8T7SW2DT,5,24,25,N,Y
R1PUUS0AK2MWSH,5,36,36,N,Y
RDNQ3VBM653GH,5,25,25,N,Y
R17TLU4A86GE43,5,35,35,N,Y
RP60TBTL6BHC2,5,19,21,N,Y
R640KZAIANHLG,1,24,25,N,Y
R2ADB18YABUH9J,5,28,30,N,Y
RX1LP1XVY61EO,5,55,58,N,Y
R3ORN5N4O0P39Y,5,24,25,N,Y
R16SOCR9M07SV9,5,31,32,N,Y
R18YZEAI0638LD,5,27,29,N,Y
RASIKAU2OVU1P,5,26,29,N,Y
R3E761Q81PWBT8,5,88,93,N,Y
R1NSO6IKLQRY5W,5,24,26,N,Y
R1M5K2MQCWN0XR,1,49,57,N,Y
RCVNRXUGO1ZO7,5,20,21,N,Y
R2TNZFTELQATCK,1,46,46,N,Y
R3PBQS7HBHCAE6,5,19,20,N,Y
R6D9NEV51IN4N,5,36,37,N,Y
R3LMC3KAIGL02K,5,29,29,N,Y
R1RSRFREW8KXPD,5,22,22,N,Y
R33DHKY520NU21,5,34,34,N,Y
R2F5YU8CG23RI5,3,22,22,N,Y
R3LO8BJB7BJVI8,5,55,56,N,Y
R1L0IRYWEOJLOY,1,22,22,N,Y
R28QWIT89R3DB5,4,20,20,N,Y
R10MLOWV833V57,5,26,27,N,Y
R3GOW8GZ1A4IPY,5,21,21,N,Y
RL1UV296MFJ7V,5,21,21,N,Y
RXJJXNCXV6W6G,5,67,69,N,Y
R1CYB63VCRAZQJ,5,78,78,N,Y
R36W5SY6ZHSOFO,5,23,24,N,Y
R2T9VC9O4Z3QG9,5,19,20,N,N
R3EWOS3BXABIJ6,4,34,35,N,Y
R394DSQ8ULMUDN,1,29,30,N,Y
R2Y8YJQPCIN0TX,5,26,27,N,N
R3699O2HAWJX0V,4,35,37,N,Y
R192YCNG4I7063,5,20,20,N,Y
RJMFQ25OV824O,1,28,29,N,N
R1JNVSJN73Q8TR,4,20,22,N,Y
RKPYDZAKMBK9T,1,33,39,N,Y
RXUTB4VJK6GS3,5,98,100,N,Y
R2SY0IJY4OI6Q1,5,24,26,N,Y
R16DJHP8B3CE6O,1,27,27,N,Y
R2W9S7X7UQ8P1F,5,20,20,N,Y
RF3WEP8NUCJT3,2,25,25,N,Y
RRQ3W8ETVR17F,5,44,44,N,Y
RNO5BQ8XCWWFR,5,31,34,N,Y
R1APP6FMQJRBZZ,5,18,20,N,N
R29CQPVHUF122P,5,26,28,N,Y
R1UL8Y5EMYEYFD,5,26,27,N,Y
R1SZSNRUK0HJUF,5,18,21,N,Y
R1DQ5T4FX4S2WP,5,24,25,N,Y
R1QLK3S45J2ZKH,1,30,34,N,Y
R1K0SEBELJKYII,5,26,28,N,Y
R1DNU8BWVMF7TV,4,25,27,N,Y
R1YHSFQD04HU61,5,39,41,N,Y
R3W1T8BXA7OPEZ,5,25,29,N,Y
R2HE19KHKY60U5,5,169,171,N,Y
R2I672UMXKRUD9,5,57,59,N,Y
R3ANCOT74F26O8,1,23,24,N,Y
ROLEADL9DKB0N,1,30,40,N,Y
R3CT4HQK8HT3TC,5,22,24,N,Y
R2GEK32T9MFXMP,5,47,47,N,Y
R2GTXUB2T7X71B,4,44,44,N,Y
R2W7CRKWUJBFH9,5,17,20,N,Y
R14ZKRVHD57ZHO,1,20,20,N,Y
R16N4Q3EQAVIVG,5,56,56,N,Y
RHS8VTMX3YA7Y,5,23,23,N,N
R30Y4DQOX50KHE,4,20,21,N,Y
R2434LH7O1UY74,5,20,20,N,Y
R3I4JMDRKF1Z0D,5,96,105,N,Y
R3L28L5UKRH0QA,5,22,22,N,N
RU4LGFB1P80WE,1,22,27,N,Y
RPM39B2J9ULN0,5,34,35,N,Y
R282X6P61SW8Y1,5,26,26,N,Y
R3MPX2UWE175Q3,5,37,38,N,Y
R35O2JKYYDZ3OX,5,22,23,N,Y
R28FH2QEM87O2Q,5,37,38,N,Y
R3PRPY5GSPQ5VD,5,78,81,N,Y
R321MQFCYKZA6,1,20,20,N,Y
RXTA54611AE2C,1,19,22,N,Y
R2DJKJHIYJSQQO,5,35,35,N,Y
R38XFN5IM72TXH,2,66,72,N,N
R1L6JO2RZO3K40,5,30,30,N,Y
RZVCF7ICYIUVV,5,22,22,N,N
RLEEFZ3OJKH2P,4,46,49,N,Y
R144DYLWB8E28H,4,20,21,N,N
R3MV65RF4Z0DJ8,5,22,26,N,Y
RVB8I8U0DWAGE,5,21,21,N,N
R15BJH4HYIS0PH,5,35,35,N,Y
RQEV8AO3I7II7,4,25,27,N,Y
R2PRNFP38QHFND,1,43,44,N,Y
R1J0ZXQZJZCCJZ,1,21,22,N,N
RF2OD9ZYAA9AF,3,54,55,N,Y
R2S6FWZS85VBNH,5,29,31,N,Y
R1J3MQXU3Q37X0,5,32,33,N,Y
RKNWX3DO7MWF2,1,27,28,N,N
R3858BBQWW61O,5,106,108,N,N
R2U5FZF2OLJC4X,5,25,28,N,Y
R232P2PLO3A5NE,5,67,68,N,Y
R2SX2SYMC5Y3EQ,5,36,37,N,Y
RMP36TQC4ZRHK,5,23,24,N,Y
R2PFD6OWB62BQ1,1,20,27,N,Y
RN4B0APQR2GQY,5,130,139,N,Y
R3GLYXX6RBAMR8,5,35,35,N,Y
R1OHNLBG8HLTBB,5,53,54,N,N
R3KZ64QE4TYAFK,1,18,20,N,N
R1GR2IGFGWDF79,2,37,42,N,Y
R1S6R16EQYERKB,5,32,32,N,Y
R2OS1KW1QVGZ7E,5,50,52,N,Y
R1TNO44000FM76,4,31,32,N,Y
RG30918QEHVBU,1,19,22,N,Y
R5AIU1ILLRRV6,2,17,24,N,Y
R1F0AYMI6GTQUL,5,71,73,N,Y
R16RR8CBLXB40N,5,21,21,N,Y
R1QTSK93IO81OK,4,26,26,N,Y
R1RYMOXCYSWTX5,2,78,101,N,Y
R3LWTQQYTYQ1IX,5,22,22,N,Y
R1RF4R8SAQ63F,5,60,61,N,Y
R3HI701LJNNIAN,5,39,43,N,N
R1DRI9HCV4HNLF,5,34,34,N,Y
RMZI557YKMUCO,5,66,67,N,Y
R252YGWSM07TAX,5,21,21,N,Y
RBZQAJ32BKISM,5,73,76,N,Y
RVDBNGVKXYE9D,5,24,24,N,Y
R2SK522M5ET8GR,4,20,21,N,N
RVI65RRWRKBR2,1,29,29,N,N
R3ABLR06FMNL7Q,5,24,26,N,Y
R3EA95IO1YPG98,1,63,71,N,N
R2922TUYSLADY1,5,25,26,N,Y
R2WDOFA28PKOS5,5,20,21,N,Y
R10IVX4HXYIU8P,5,22,23,N,Y
R2DTFGZ1F6FFW,5,41,42,N,Y
R1H1KU0L7WHDSB,5,22,25,N,Y
R18OYCOD77PCDV,5,32,32,N,Y
RJBAF7VLQVASD,5,42,44,N,Y
R1NY4C52H12TA9,5,19,22,N,Y
RYRW7BQTC9MIY,2,122,127,N,Y
R57KKIMMR20IQ,4,46,47,N,Y
R3TJX9LEWRWNGH,4,97,97,N,Y
R1E8P1ICGU6XRK,4,19,20,N,Y
R2GJN7PDFBE3R6,5,135,139,N,Y
R25N8JECHS0078,4,24,24,N,Y
R119I4DQB4S6IZ,5,21,21,N,N
R1XUG4DJ722SC0,5,31,31,N,Y
R1GNLRESCN0ISJ,5,34,34,N,Y
R5ULRZ1OIB3IJ,1,20,21,N,Y
R2RXB0EBTODYDT,4,40,45,N,Y
R2LFTWKXXKBHRC,4,26,26,N,Y
RKHJHCQXV2EN6,5,30,33,N,Y
R11NRBQFRLWZ06,1,53,53,N,Y
R3M1HYETJLAES3,5,22,23,N,Y
R22U8V958661GL,4,27,28,N,Y
R18QCFHAE9VVC5,5,27,28,N,Y
R1R284RRSSNSJ5,5,19,23,N,Y
RMJ96WZ8ENC1M,5,25,26,N,Y
R1CI4JHTSJBV99,5,20,20,N,Y
R2FERE7YRKLRJF,5,33,34,N,Y
R20S055EZM0VB4,5,80,89,N,Y
R3A58EFZE7C8O7,4,79,80,N,Y
R392IQ8NHTV7VP,5,25,25,N,Y
R1O0YE8K2I4RXY,5,32,34,N,Y
R3UHVL15JK24M0,5,39,41,N,Y
RIR1CSW9M6LMR,4,21,21,N,Y
R21965SM9BFM1O,1,46,47,N,Y
R11RSKDGUSUVBX,3,42,42,N,Y
RHVI0SEEETC9K,5,43,45,N,Y
R12DYBOUWUV4YF,5,40,45,N,Y
RSP9BM6PL0JLB,2,21,26,N,Y
R30X16S1N5IFZH,5,21,23,N,Y
R367HNBNR160MJ,5,20,20,N,Y
R1QKF55A4YA1SM,2,39,40,N,Y
R1408MR1HXDPUW,5,28,31,N,Y
R1IYCVNY6PQQKV,3,30,31,N,Y
R4R7OGB1KD5RL,3,51,52,N,Y
R17OZ3UQAWCE7W,5,25,25,N,Y
R3UEHY7QENDKTC,5,33,34,N,Y
R2014HFSH7S0XY,5,47,47,N,Y
R2B00SSEXKJK9O,4,130,133,N,Y
R33VNZPMZAP3OG,1,61,62,N,N
R9Y59ZLUX5HH8,5,20,21,N,Y
R2YAGJCRQEN2QY,2,86,91,N,Y
RBDXUT9UQTU8Y,2,39,40,N,Y
R15FNK6Q1ZVJ7,4,20,20,N,Y
R1WYSBFEU39DRK,5,22,24,N,Y
R2VLZ9HJCKAFHD,1,117,129,N,Y
R3QKECKQPI9KV0,4,61,65,N,Y
R3S1XXJQ460QG6,5,32,32,N,Y
R2DKFXTP35DBJH,5,20,20,N,Y
R2VVHMBEZRXFZQ,5,119,130,N,Y
R2U1LD2NMD0G0W,5,27,27,N,Y
R25ZQPNGCULGIV,5,21,21,N,Y
R37JW97SR3IL38,5,31,35,N,Y
R7YQV5FKDTDUG,1,21,21,N,Y
R21QJVPZJIN9MT,5,21,21,N,Y
R3DSQ6K8E9BUXP,5,24,24,N,Y
R22ONUAKGESSH7,3,21,24,N,Y
RJ1QTLDC3ARZ6,2,23,23,N,Y
R1WDQ4A3TRH0Y3,5,88,88,N,Y
R2QRBI0F02N1IA,4,37,37,N,Y
R2NUR59YK3DCPX,5,28,29,N,Y
RM65KV1I6Z91T,5,28,29,N,Y
ROPYKCLXHYK81,4,23,26,N,Y
R11TK8LK2KAC95,5,136,140,N,Y
R1HIQWTP2APR0U,4,21,21,N,Y
R1XDGYRPSRV2MK,1,22,24,N,Y
RXBM3BUMAM0AU,5,25,26,N,Y
R34820YTXLFL5V,5,28,29,N,Y
RQ305DC8RBDGI,4,20,20,N,Y
R2N00RJOS7QYLY,5,32,32,N,Y
RBGUTXS535R5W,3,23,24,N,Y
R37HQYVGJ9PHZU,5,24,25,N,Y
R1JGP99LKRHMOO,5,63,68,N,Y
R2QX5D55DEZ2YM,2,57,60,N,Y
R1HQ2OV0QYL8MV,5,19,20,N,Y
R3EOXRA6G5QSNN,5,28,28,N,Y
R1FND6B46PJKZ7,1,20,21,N,Y
RQ182ZWLXOFXB,5,24,25,N,Y
R1A3EPMJRQ0RQR,3,19,21,N,Y
R3MYYW9TJMROZS,1,40,72,N,Y
R3FSGYN2D0D1T1,3,21,22,N,Y
R166FET24D582C,5,25,25,N,Y
R3S4PIOKLO5NWH,5,20,20,N,Y
R1W10UO1N6ZQRH,5,32,40,N,Y
R13PBVNE31JEQ5,5,30,36,N,Y
RN6XF0D7M17SJ,5,37,37,N,Y
R31CU2L1Y9CEVU,1,25,25,N,Y
R2M2NGPBWY07JG,1,71,77,N,Y
R3EWY6ASHEI54J,1,20,20,N,N
R3DU7I4U2QFXYD,5,409,414,N,Y
R3IPU7407CQ560,5,39,39,N,Y
RE9NZ27CZ90V4,1,26,29,N,Y
R2LO0E5HUMDUMB,5,61,62,N,Y
R6MFTWD7SVRNC,5,20,21,N,Y
R3HA4AF9MYU206,5,21,22,N,Y
R23OXVB2CU0YY1,4,20,24,N,Y
RQLFF9FKU3RN,2,119,126,N,Y
R2RIB4JVNC2S39,4,23,26,N,N
R2PHQUWWIAIDDD,5,20,21,N,Y
RMG5UCNN4C03T,5,74,74,N,Y
R247U0VZ880PYE,5,21,23,N,Y
R1R1AUBG1ZLOUN,4,54,54,N,Y
R13MV5K7B0X8PS,5,24,25,N,Y
R29LFMQ4IB0YP8,5,23,23,N,Y
R1IT0VU5LJ1E8T,5,127,129,N,Y
R1NNXH6E5C69QO,5,40,40,N,Y
R31HCQ3X8HX6I2,4,23,26,N,Y
R2PKGPABRVP2N1,5,71,72,N,Y
R2UVXBPDZ3NK3W,5,20,20,N,N
R3AMJR4YXKJA0H,5,19,21,N,Y
R2BC3MW2OZTMR8,5,23,23,N,Y
RM2NWRDWU5AOX,5,20,20,N,Y
R25I8MT836SRJF,4,23,26,N,Y
ROH627OJHDFV2,5,37,41,N,Y
RD6VU5TMVZCKO,5,28,28,N,N
R2FOZ204WGSAGU,1,26,29,N,Y
R2CCYAKU6BKL1L,1,62,65,N,Y
R2JO7LUF17IQL1,5,38,38,N,Y
R3XUI0XHGQ7US,2,22,23,N,Y
R2Q5YKKXMHJ2NE,5,44,45,N,Y
R1EV3KAQULBSBC,5,58,58,N,Y
R21QMZUV37AZX8,4,37,40,N,Y
RRG24D6YK3U1W,5,33,33,N,Y
RGX2I5LNDIFG4,5,70,73,N,Y
R29TOFR2C6166Q,5,34,36,N,Y
R1BDQV8BPLZQSK,5,27,27,N,N
R30KJIW0ETLSHD,5,20,20,N,Y
R14PKNBH83TZFL,1,40,44,N,Y
R12F4AFK6EMEZJ,5,15,27,N,N
REDT7AYQSHNAV,5,49,50,N,N
R2NWOML167B7XQ,5,28,29,N,Y
R1I8RE7DR45ZYF,5,27,30,N,Y
R3GGVRAR2SVXBP,5,22,25,N,Y
R3RKDPXE0I6Q3D,5,32,32,N,Y
RK4TRUO95I9YM,5,22,23,N,N
R2MG1QCDP6W4NX,5,26,26,N,Y
R29Q8AM0A7A5Y6,5,41,42,N,Y
R2HPFXBLVPXZ6I,3,28,28,N,Y
R21AFUPTBI5QFR,5,22,23,N,Y
RAP8BNNRKSG5N,5,85,95,N,N
RVW8GH9WJL6RP,4,27,27,N,Y
R2ZHXBX4ROMNIW,5,30,32,N,Y
R193WX4FA1EDJ,3,40,41,N,Y
RSDU8RJAN6CGZ,1,20,23,N,Y
R1USCPT5NODTIL,5,23,23,N,Y
R1H7MDFQGHOJ6S,1,53,54,N,Y
RGBLC6NYPK1L9,1,137,144,N,Y
RCCA9JOBTTZAC,5,19,20,N,Y
R2CEEXBIXGYD60,5,47,47,N,N
R1LBD76ESR4VOQ,5,73,73,N,Y
R3T0OFNZYHD72E,1,21,21,N,Y
R1KW1GMGKDY5NF,5,69,86,N,Y
R2EK4MF804S24K,5,28,28,N,Y
R89X7TXRG7LMD,3,20,22,N,N
R3T1FDNSEPC88W,5,27,28,N,N
R31B2MKH3SV05G,5,29,29,N,Y
R2RZEAH227BFN9,5,32,32,N,Y
R33YL6SGHDT9NQ,5,22,23,N,Y
R1WP3MIVVSGHX5,5,21,21,N,Y
R4NYYJP7JWXI9,5,22,22,N,Y
R3N0MI0AEV2K1X,2,19,20,N,N
R2KE9ZMJA24QQQ,5,87,89,N,Y
R1FVRC96M48ESE,5,28,31,N,Y
R21RHV5YJJ76OH,1,49,51,N,Y
R11SS7AJ6GDPGL,5,36,37,N,Y
R2XI4Y42N133S9,1,25,25,N,Y
R12W76I51W976X,5,41,45,N,Y
R2RC7AFONIEZRM,5,28,29,N,Y
RJ22TY7CDA0U1,5,35,36,N,Y
R2S45MVWG41759,5,16,20,N,Y
R1IR3YK5WG0L6S,1,96,99,N,N
R3CTJC1BT40UHK,5,251,252,N,Y
R1OD0NTW4515HY,5,20,21,N,Y
R1OZSTNURKSVF2,5,46,48,N,Y
R2XYTV5JPPZ4I,5,59,60,N,Y
R1E9IW4FYK43Y3,1,67,69,N,N
R24T3M8J3ZWXHA,3,397,407,N,Y
R2QGYN7ATEK3VQ,2,17,20,N,Y
R1B85LUUKDVLQF,5,47,48,N,Y
